     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      5751.5414     -3731.7474      2019.7940      7.6687219     0.93695685      1.0979885  0.00095776901
             11     0.10975419      5695.8666     -3676.0819      2019.7847      7.5944888     0.92788713      1.0980489    0.010501702
             21     0.20953072      5537.2835     -3517.5255      2019.7580      7.3830447     0.90205310      1.0980489    0.019869206
             31     0.30930726      5247.5879     -3227.8714      2019.7165      6.9967839     0.85486013      1.0980489    0.028863183
             41     0.40908380      4787.9938     -2768.3096      2019.6842      6.3839917     0.77998979      1.0980489    0.037213099
             51     0.50886033      4151.1479     -2131.4170      2019.7309      5.5348638     0.67624418      1.0980489    0.044550340
             61     0.60863687      3449.8446     -1429.9740      2019.8705      4.5997927     0.56199813      1.0980489    0.050459150
             71     0.70841340      2903.5703     -883.62944      2019.9409      3.8714271     0.47300714      1.0980489    0.054669542
             81     0.80818994      2628.1912     -608.28585      2019.9054      3.5042550     0.42814640      1.0980489    0.057243587
             91     0.90796647      2575.0557     -555.20769      2019.8480      3.4334075     0.41949034      1.0980489    0.058515268
            101      1.0077430      2642.5266     -622.72531      2019.8012      3.5233687     0.43048171      1.0980489    0.058893568
            111      1.1075195      2742.5857     -722.80994      2019.7758      3.6567810     0.44678188      1.0980489    0.058728073
            121      1.2072961      2822.4172     -802.64351      2019.7737      3.7632229     0.45978685      1.0980489    0.058261209
            131      1.3070726      2869.0603     -849.27452      2019.7858      3.8254137     0.46738526      1.0980489    0.057633557
            141      1.4068492      2895.0916     -875.29382      2019.7978      3.8601222     0.47162591      1.0980489    0.056916143
            151      1.5066257      2916.4357     -896.63422      2019.8014      3.8885809     0.47510296      1.0980489    0.056145995
            161      1.6064022      2938.3090     -918.51061      2019.7984      3.9177454     0.47866625      1.0980489    0.055348556
            171      1.7061788      2957.2210     -937.42177      2019.7992      3.9429613     0.48174711      1.0980489    0.054544124
            181      1.8059553      2972.7783     -952.97750      2019.8008      3.9637044     0.48428149      1.0980489    0.053746933
